timestamp,bank_name,internet_banking,rtgs,neft,imps,upi,mobile_banking
2026-04-20 23:17:07,Punjab National Bank,UP,UP,UP,UP,UP,UP
2026-04-20 23:17:07,HDFC Bank,UP,UP,UP,UP,UP,UP
2026-04-20 23:17:07,Axis Bank,UP,UP,UP,UP,UP,UP
2026-04-20 23:17:07,Bank Of Baroda,UP,UP,UP,UP,UP,UP
2026-04-20 23:17:07,Airtel Payments Bank,UP,UP,UP,UP,UP,UP
2026-04-20 23:17:07,Canara Bank,UP,UP,UP,UP,UP,UP
2026-04-20 23:17:07,ICICI Bank,UP,UP,UP,UP,UP,UP
2026-04-20 23:17:07,Kotak Mahindra Bank,UP,UP,UP,UP,UP,UP
2026-04-20 23:17:07,State Bank of India,UP,UP,UP,UP,UP,UP
2026-04-20 23:17:07,AU Small Finance Bank,UP,UP,UP,UP,UP,UP
2026-04-20 23:18:08,Punjab National Bank,UP,UP,UP,UP,UP,UP
2026-04-20 23:18:08,HDFC Bank,UP,UP,UP,UP,UP,UP
2026-04-20 23:18:08,Axis Bank,UP,UP,UP,UP,UP,UP
2026-04-20 23:18:08,Bank Of Baroda,UP,UP,UP,UP,UP,UP
2026-04-20 23:18:08,Airtel Payments Bank,UP,UP,UP,UP,UP,UP
2026-04-20 23:18:08,Canara Bank,UP,UP,UP,UP,UP,UP
2026-04-20 23:18:08,ICICI Bank,UP,UP,UP,UP,UP,UP
2026-04-20 23:18:08,Kotak Mahindra Bank,UP,UP,UP,UP,UP,UP
2026-04-20 23:18:08,State Bank of India,UP,UP,UP,UP,UP,UP
2026-04-20 23:18:08,AU Small Finance Bank,UP,UP,UP,UP,UP,UP
2026-04-20 23:19:07,Punjab National Bank,UP,UP,UP,UP,UP,UP
2026-04-20 23:19:07,HDFC Bank,UP,UP,UP,UP,UP,UP
2026-04-20 23:19:07,Axis Bank,UP,UP,UP,UP,UP,UP
2026-04-20 23:19:07,Bank Of Baroda,UP,UP,UP,UP,UP,UP
2026-04-20 23:19:07,Airtel Payments Bank,UP,UP,UP,UP,UP,UP
2026-04-20 23:19:07,Canara Bank,UP,UP,UP,UP,UP,UP
