timestamp,bank_name,internet_banking,rtgs,neft,imps,upi,mobile_banking
2026-04-16 07:12:39,Punjab National Bank,UP,UP,UP,UP,UP,UP
2026-04-16 07:12:39,HDFC Bank,UP,UP,UP,UP,UP,UP
2026-04-16 07:12:39,Axis Bank,UP,UP,UP,UP,UP,UP
2026-04-16 07:12:39,Bank Of Baroda,UP,UP,UP,UP,UP,UP
2026-04-16 07:12:39,Airtel Payments Bank,UP,UP,UP,UP,UP,UP
2026-04-16 07:12:39,Canara Bank,UP,UP,UP,UP,UP,UP
2026-04-16 07:12:39,ICICI Bank,UP,UP,UP,UP,UP,UP
2026-04-16 07:12:39,Kotak Mahindra Bank,UP,UP,UP,UP,UP,UP
2026-04-16 07:12:39,State Bank of India,UP,UP,UP,UP,UP,UP
2026-04-16 07:12:39,AU Small Finance Bank,UP,UP,UP,UP,UP,UP
2026-04-16 10:37:20,Punjab National Bank,UP,UP,UP,UP,UP,UP
2026-04-16 10:37:20,HDFC Bank,UP,UP,UP,UP,UP,UP
2026-04-16 10:37:20,Axis Bank,UP,UP,UP,UP,UP,UP
2026-04-16 10:37:20,Bank Of Baroda,UP,UP,UP,UP,UP,UP
2026-04-16 10:37:20,Airtel Payments Bank,UP,UP,UP,UP,UP,UP
2026-04-16 10:37:20,Canara Bank,UP,UP,UP,UP,UP,UP
2026-04-16 10:37:20,ICICI Bank,UP,UP,UP,UP,UP,UP
2026-04-16 10:37:20,Kotak Mahindra Bank,UP,UP,UP,UP,UP,UP
2026-04-16 10:37:20,State Bank of India,UP,UP,UP,UP,UP,UP
2026-04-16 10:37:20,AU Small Finance Bank,UP,UP,UP,UP,UP,UP
2026-04-16 12:24:32,Punjab National Bank,UP,UP,UP,UP,UP,UP
2026-04-16 12:24:32,HDFC Bank,UP,UP,UP,UP,UP,UP
2026-04-16 12:24:32,Axis Bank,UP,UP,UP,UP,UP,UP
2026-04-16 12:24:32,Bank Of Baroda,UP,UP,UP,UP,UP,UP
2026-04-16 12:24:32,Airtel Payments Bank,UP,UP,UP,UP,UP,UP
2026-04-16 12:24:32,Canara Bank,UP,UP,UP,UP,UP,UP
2026-04-16 12:24:32,ICICI Bank,UP,UP,UP,UP,UP,UP
2026-04-16 12:24:32,Kotak Mahindra Bank,UP,UP,UP,UP,UP,UP
2026-04-16 12:24:32,State Bank of India,UP,UP,UP,UP,UP,UP
2026-04-16 12:24:32,AU Small Finance Bank,UP,UP,UP,UP,UP,UP
2026-04-16 13:10:44,Punjab National Bank,UP,UP,UP,UP,UP,UP
2026-04-16 13:10:44,HDFC Bank,UP,UP,UP,UP,UP,UP
2026-04-16 13:10:44,Axis Bank,UP,UP,UP,UP,UP,UP
2026-04-16 13:10:44,Bank Of Baroda,UP,UP,UP,UP,UP,UP
2026-04-16 13:10:44,Airtel Payments Bank,UP,UP,UP,UP,UP,UP
2026-04-16 13:10:44,Canara Bank,UP,UP,UP,UP,UP,UP
2026-04-16 13:10:44,ICICI Bank,UP,UP,UP,UP,UP,UP
2026-04-16 13:10:44,Kotak Mahindra Bank,UP,UP,UP,UP,UP,UP
2026-04-16 13:10:44,State Bank of India,UP,UP,UP,UP,UP,UP
2026-04-16 13:10:44,AU Small Finance Bank,UP,UP,UP,UP,UP,UP
2026-04-16 13:39:25,Punjab National Bank,UP,UP,UP,UP,UP,UP
2026-04-16 13:39:25,HDFC Bank,UP,UP,UP,UP,UP,UP
2026-04-16 13:39:25,Axis Bank,UP,UP,UP,UP,UP,UP
2026-04-16 13:39:25,Bank Of Baroda,UP,UP,UP,UP,UP,UP
2026-04-16 13:39:25,Airtel Payments Bank,UP,UP,UP,UP,UP,UP
2026-04-16 13:39:25,Canara Bank,UP,UP,UP,UP,UP,UP
2026-04-16 13:39:25,ICICI Bank,UP,UP,UP,UP,UP,UP
2026-04-16 13:39:25,Kotak Mahindra Bank,UP,UP,UP,UP,UP,UP
2026-04-16 13:39:25,State Bank of India,UP,UP,UP,UP,UP,UP
2026-04-16 13:39:25,AU Small Finance Bank,UP,UP,UP,UP,UP,UP
2026-04-16 13:42:09,Punjab National Bank,UP,UP,UP,UP,UP,UP
2026-04-16 13:42:09,HDFC Bank,UP,UP,UP,UP,UP,UP
2026-04-16 13:42:09,Axis Bank,UP,UP,UP,UP,UP,UP
2026-04-16 13:42:09,Bank Of Baroda,UP,UP,UP,UP,UP,UP
2026-04-16 13:42:09,Airtel Payments Bank,UP,UP,UP,UP,UP,UP
2026-04-16 13:42:09,Canara Bank,UP,UP,UP,UP,UP,UP
2026-04-16 13:42:09,ICICI Bank,UP,UP,UP,UP,UP,UP
2026-04-16 13:42:09,Kotak Mahindra Bank,UP,UP,UP,UP,UP,UP
2026-04-16 13:42:09,State Bank of India,UP,UP,UP,UP,UP,UP
2026-04-16 13:42:09,AU Small Finance Bank,UP,UP,UP,UP,UP,UP
2026-04-16 13:45:38,Punjab National Bank,UP,UP,UP,UP,UP,UP
2026-04-16 13:45:38,HDFC Bank,UP,UP,UP,UP,UP,UP
2026-04-16 13:45:38,Axis Bank,UP,UP,UP,UP,UP,UP
2026-04-16 13:45:38,Bank Of Baroda,UP,UP,UP,UP,UP,UP
2026-04-16 13:45:38,Airtel Payments Bank,UP,UP,UP,UP,UP,UP
2026-04-16 13:45:38,Canara Bank,UP,UP,UP,UP,UP,UP
2026-04-16 13:45:38,ICICI Bank,UP,UP,UP,UP,UP,UP
2026-04-16 13:45:38,Kotak Mahindra Bank,UP,UP,UP,UP,UP,UP
2026-04-16 13:45:38,State Bank of India,UP,UP,UP,UP,UP,UP
2026-04-16 13:45:38,AU Small Finance Bank,UP,UP,UP,UP,UP,UP
2026-04-16 14:21:35,Punjab National Bank,UP,UP,UP,UP,UP,UP
2026-04-16 14:21:35,HDFC Bank,UP,UP,UP,UP,UP,UP
2026-04-16 14:21:35,Axis Bank,UP,UP,UP,UP,UP,UP
2026-04-16 14:21:35,Bank Of Baroda,UP,UP,UP,UP,UP,UP
2026-04-16 14:21:35,Airtel Payments Bank,UP,UP,UP,UP,UP,UP
2026-04-16 14:21:35,Canara Bank,UP,UP,UP,UP,UP,UP
2026-04-16 14:21:35,ICICI Bank,UP,UP,UP,UP,UP,UP
2026-04-16 14:21:35,Kotak Mahindra Bank,UP,UP,UP,UP,UP,UP
2026-04-16 14:21:35,State Bank of India,UP,UP,UP,UP,UP,UP
2026-04-16 14:21:35,AU Small Finance Bank,UP,UP,UP,UP,UP,UP
2026-04-16 14:21:49,Punjab National Bank,UP,UP,UP,UP,UP,UP
2026-04-16 14:21:49,HDFC Bank,UP,UP,UP,UP,UP,UP
2026-04-16 14:21:49,Axis Bank,UP,UP,UP,UP,UP,UP
2026-04-16 14:21:49,Bank Of Baroda,UP,UP,UP,UP,UP,UP
2026-04-16 14:21:49,Airtel Payments Bank,UP,UP,UP,UP,UP,UP
2026-04-16 14:21:49,Canara Bank,UP,UP,UP,UP,UP,UP
2026-04-16 14:21:49,ICICI Bank,UP,UP,UP,UP,UP,UP
2026-04-16 14:21:49,Kotak Mahindra Bank,UP,UP,UP,UP,UP,UP
2026-04-16 14:21:49,State Bank of India,UP,UP,UP,UP,UP,UP
2026-04-16 14:21:49,AU Small Finance Bank,UP,UP,UP,UP,UP,UP
2026-04-16 14:22:10,Punjab National Bank,UP,UP,UP,UP,UP,UP
2026-04-16 14:22:10,HDFC Bank,UP,UP,UP,UP,UP,UP
2026-04-16 14:22:10,Axis Bank,UP,UP,UP,UP,UP,UP
2026-04-16 14:22:10,Bank Of Baroda,UP,UP,UP,UP,UP,UP
